city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mönsterås,57.0333,16.4333,Sweden,SE,Kalmar,minor,,
Nossebro,58.1833,12.7167,Sweden,SE,Västra Götaland,minor,,
Osby,56.3667,13.9833,Sweden,SE,Skåne,minor,,
Kramfors,62.9248,17.7963,Sweden,SE,Västernorrland,minor,,
Mullsjö,57.9167,13.8833,Sweden,SE,Jönköping,minor,,
Markaryd,56.4333,13.6000,Sweden,SE,Kronoberg,minor,,
Sävsjö,57.4000,14.6667,Sweden,SE,Jönköping,minor,,
Munkedal,58.4833,11.6833,Sweden,SE,Västra Götaland,minor,,
Krokom,63.3333,14.4500,Sweden,SE,Jämtland,minor,,
Bengtsfors,59.0333,12.2167,Sweden,SE,Västra Götaland,minor,,
Vingåker,59.0333,15.8667,Sweden,SE,Södermanland,minor,,
Mörbylånga,56.5167,16.3833,Sweden,SE,Kalmar,minor,,
Munkfors,59.8333,13.5333,Sweden,SE,Värmland,minor,,
Tingsryd,56.5333,14.9833,Sweden,SE,Kronoberg,minor,,
Åmål,59.0500,12.7000,Sweden,SE,Västra Götaland,minor,,
Hedemora,60.2833,15.9833,Sweden,SE,Dalarna,minor,,
Degerfors,59.2333,14.4333,Sweden,SE,Örebro,minor,,
Söderköping,58.4833,16.3000,Sweden,SE,Östergötland,minor,,
Aneby,57.8333,14.8000,Sweden,SE,Jönköping,minor,,
Tanumshede,58.7333,11.3167,Sweden,SE,Västra Götaland,minor,,
Charlottenberg,59.8833,12.2833,Sweden,SE,Värmland,minor,,
Heby,59.9333,16.8833,Sweden,SE,Uppsala,minor,,
Laxå,58.9833,14.6167,Sweden,SE,Örebro,minor,,
Askersund,58.8869,14.9151,Sweden,SE,Örebro,minor,,
Vaxholm,59.4000,18.3333,Sweden,SE,Stockholm,minor,,
Fjugesta,59.1667,14.8667,Sweden,SE,Örebro,minor,,
Årjäng,59.3833,12.1333,Sweden,SE,Värmland,minor,,
Säter,60.3500,15.7500,Sweden,SE,Dalarna,minor,,
Gagnef,60.5833,15.0667,Sweden,SE,Dalarna,minor,,
Lindesberg,59.6024,15.2130,Sweden,SE,Örebro,minor,,
Färgelanda,58.5667,12.0000,Sweden,SE,Västra Götaland,minor,,
Smedjebacken,60.1333,15.4167,Sweden,SE,Dalarna,minor,,
Boden,65.8333,21.7000,Sweden,SE,Norrbotten,minor,,
Nora,59.5167,15.0333,Sweden,SE,Örebro,minor,,
Sunne,59.8333,13.1500,Sweden,SE,Värmland,minor,,
Åtvidaberg,58.2000,16.0000,Sweden,SE,Östergötland,minor,,
Vännäs,63.9167,19.7500,Sweden,SE,Västerbotten,minor,,
Grums,59.3167,13.1000,Sweden,SE,Värmland,minor,,
Kalix,65.8500,23.1333,Sweden,SE,Norrbotten,minor,,
Torsås,56.4000,16.0000,Sweden,SE,Kalmar,minor,,
Torsby,60.1333,13.0000,Sweden,SE,Värmland,minor,,
Hova,58.8667,14.1833,Sweden,SE,Västra Götaland,minor,,
Norberg,60.0667,15.9333,Sweden,SE,Västmanland,minor,,
Piteå,65.3333,21.5000,Sweden,SE,Norrbotten,minor,,
Östhammar,60.2589,18.3736,Sweden,SE,Uppsala,minor,,
Åseda,57.1667,15.3333,Sweden,SE,Kronoberg,minor,,
Tierp,60.3333,17.5000,Sweden,SE,Uppsala,minor,,
Leksand,60.7333,15.0167,Sweden,SE,Dalarna,minor,,
Högsby,57.1667,16.0333,Sweden,SE,Kalmar,minor,,
Ödeshög,58.2333,14.6500,Sweden,SE,Östergötland,minor,,
Storfors,59.5333,14.2667,Sweden,SE,Värmland,minor,,
Boxholm,58.2000,15.0500,Sweden,SE,Östergötland,minor,,
Valdemarsvik,58.1997,16.5940,Sweden,SE,Östergötland,minor,,
Hällefors,59.7833,14.5000,Sweden,SE,Örebro,minor,,
Kopparberg,59.8667,14.9833,Sweden,SE,Örebro,minor,,
Bergsjö,61.9833,17.0667,Sweden,SE,Gävleborg,minor,,
Edsbyn,61.3833,15.8167,Sweden,SE,Gävleborg,minor,,
Skinnskatteberg,59.8333,15.6833,Sweden,SE,Västmanland,minor,,
