field	occupation	n	count	expected	diff
COMPUTER SCIENCE	OFF-CUSTOMER SERVICE REPRESENTATIVES	167	6535	10354.8925724814	0.631102636194126
COMPUTER SCIENCE	OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE	160	5991	9068.09708375743	0.66066782751267
COMPUTER SCIENCE	OFF-MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT	34	1220	3524.26525272116	0.346171446390992
COMPUTER SCIENCE	OFF-OFFICE CLERKS, GENERAL	47	1872	4070.41705393495	0.45990373349834
COMPUTER SCIENCE	OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS	104	3504	12466.7879467199	0.281066784401506
COMPUTER SCIENCE	PRT-POLICE OFFICERS	29	1143	5589.77682872805	0.204480435448813
COMPUTER SCIENCE	SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS	163	5499	9245.29506642829	0.594789020846732
COMPUTER SCIENCE	SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS	220	8428	15341.8865185711	0.54934573983441
COMPUTER SCIENCE	SAL-INSURANCE SALES AGENTS	34	1108	4897.55607136942	0.226235286304785
COMPUTER SCIENCE	SAL-REAL ESTATE BROKERS AND SALES AGENTS	50	1886	5325.87702176129	0.354120080560233
COMPUTER SCIENCE	SAL-RETAIL SALESPERSONS	159	7261	11629.3500224994	0.624368514659209
COMPUTER SCIENCE	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	97	3498	6129.94029316404	0.570641773444496
COMPUTER SCIENCE	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	123	4615	13779.5759144751	0.334915967562692
COMPUTER SCIENCE	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	48	1598	4306.20781456107	0.37109216944814
GENERAL EDUCATION	BUS-HUMAN RESOURCES WORKERS	133	4795	10677.1047552953	0.449091781891708
GENERAL EDUCATION	BUS-MANAGEMENT ANALYSTS	82	2923	13008.8782174573	0.224692702256023
GENERAL EDUCATION	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	24	936	5611.91710155593	0.166787923460325
GENERAL EDUCATION	CMM-COMPUTER OCCUPATIONS, ALL OTHER	31	1393	5096.8155294808	0.27330790999648
GENERAL EDUCATION	CMM-COMPUTER PROGRAMMERS	29	933	9487.36394740511	0.0983413311824287
GENERAL EDUCATION	CMM-COMPUTER SUPPORT SPECIALISTS	52	1865	6467.33461660884	0.28837227552916
GENERAL EDUCATION	CMM-COMPUTER SYSTEMS ANALYSTS	43	1708	9838.86617064511	0.173597238785088
GENERAL EDUCATION	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	44	1426	23814.2589782597	0.0598800912218941
GENERAL EDUCATION	CMS-CLERGY	143	4572	6905.36404937723	0.662093984807699
GENERAL EDUCATION	CMS-COUNSELORS	497	18929	13378.4915611219	1.41488297940913
GENERAL EDUCATION	CMS-SOCIAL WORKERS	221	8908	17076.1231603027	0.521664075409615
GENERAL EDUCATION	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	12724	485691	89566.9480196503	5.42265881263971
GENERAL EDUCATION	EDU-OTHER TEACHERS AND INSTRUCTORS	406	16097	7331.60793686935	2.19556202931298
GENERAL EDUCATION	EDU-POSTSECONDARY TEACHERS	597	22930	24380.5977090359	0.940501962817002
GENERAL EDUCATION	EDU-PRESCHOOL AND KINDERGARTEN TEACHERS	658	32236	6102.71514806134	5.28223900639381
GENERAL EDUCATION	EDU-SECONDARY SCHOOL TEACHERS	2044	85244	20371.5480575548	4.18446353508157
GENERAL EDUCATION	EDU-SPECIAL EDUCATION TEACHERS	650	27726	5881.68623537993	4.71395427950927
GENERAL EDUCATION	EDU-TEACHER ASSISTANTS	278	11356	4582.77931743063	2.47797225513508
GENERAL EDUCATION	ENG-CIVIL ENGINEERS	9	324	7195.97428868979	0.0450251747715725
GENERAL EDUCATION	ENG-ELECTRICAL AND ELECTRONICS ENGINEERS	8	236	5175.78534133203	0.0455969450887744
GENERAL EDUCATION	ENG-MECHANICAL ENGINEERS	5	131	4590.5031776117	0.0285371766299823
GENERAL EDUCATION	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	22	528	10083.0333713689	0.0523651941388264
