city,lat,lng
Sauda,59.6875,6.4372
Kvitsøy,59.0622,5.4117
Bokn,59.2003,5.4231
Tysvær,59.3617,5.5428
Karmøy,59.32627,5.2855500000001
Utsira,59.3072,4.8861
Vindafjord,59.666622,5.646119
Bergen,60.3925,5.3233
Kinn,68.941,15.899
Etne,59.6839,6.0475
Sveio,59.5736,5.3633
Bømlo,59.7794,5.2183
Stord,59.8081,5.4664
Fitjar,59.9189,5.3714
Tysnes,59.9983,5.5772
Kvinnherad,59.9361331,5.9955943
Ullensvang,60.37501,6.72073
Eidfjord,60.4966,7.1411
Ulvik,60.6211,7.0803
Voss,60.7025,6.4231
Kvam,61.6656,9.689842
Samnanger,60.46,5.9
Bjørnafjorden,60.11194,5.55972
Austevoll,60.0378,5.2683
Øygarden,60.59041,4.8389
Askøy,60.4667,5.15
Vaksdal,60.6069,5.8161
Modalen,60.8172,5.80247
Osterøy,60.52546,5.50165
Alver,60.633663,13.0881
Austrheim,60.7711,4.9261
Fedje,60.7689,4.7306
Masfjorden,60.87536,5.5866800000001
Gulen,60.961459,9.3019
Solund,61.07394,4.83876
Hyllestad,61.1633,5.3389
Høyanger,61.1881,5.8956
Vik,61.0571,6.5781
Sogndal,61.2297,7.1006
Aurland,60.906094,7.186683
Lærdal,61.100033,7.472323
Årdal,61.551109,6.345722
Luster,61.44572,7.4622000000001
Askvoll,61.4058,5.2422
Fjaler,61.2920048,5.3396677
Sunnfjord,61.453092,5.85092
Bremanger,61.83913,4.99058
Stad,62.472229,6.149482
Gloppen,61.81047,6.1521000000001
Stryn,61.8386,6.8628
Kristiansund,63.1105,7.7279
Molde,62.7333,7.1833
Ålesund,62.4723,6.1549
Vanylven,62.10059,5.5585300000001
Sande,61.3333,5.8
Herøy,62.3215528,5.6590031
Ulstein,62.3564,5.8539
Hareid,62.3642,6.0014
Ørsta,62.2003,6.1322
Stranda,62.1667,6.9667
Sykkylven,62.3756,6.6442
Sula,63.845215,8.458613
Giske,62.5007,6.13472
Vestnes,62.6213,7.0897
Rauma,62.5285491,7.7239244
Aukra,62.805,6.8872
Averøy,63.084072,7.540489
Gjemnes,62.892053,7.677038
Tingvoll,62.9,8.2
Sunndal,62.673517,8.566112
Surnadal,62.9475,8.77
Smøla,63.4684656,7.6953638
Aure,63.2686,8.6078
Volda,62.1468,6.068
Fjord,62.103561,7.099228
Hustadvika,62.96667,6.91667
Jan Mayen,78.239998,15.434167
Colesbukta,78.1167,14.9333
Pyramiden,78.667777777778,16.319444444444
Van Mijenfjorden,77.7167,14.6667
Nordenskiöld Land,77.8333,15
Isfjorden,78.3333,15
Sassen-Bünsow Land,79.004959,17.666016
Nordre Isfjorden,78.4,14.38333
Kongsfjorden,79,11.6667
Forlandet,79.004959,17.666016
Wijdefjorden,79.8333,15.5
Longyearbyen,78.2167,15.55
Ny-Ålesund,78.923538,11.909895
Barentsburg,78.065041,14.214635
Sør-Spitsbergen,79.004959,17.666016
Sveagruva,77.9,16.6833
Indre Wijdefjorden,79.02799,16.20467
Nordvest-Spitsbergen,79.004959,17.666016
Nordaust-Svalbard,79.004959,17.666016
Søraust-Svalbard,79.004959,17.666016
Bjørnøya,74.51667,19.01667
Hopen,63.4667,8.0167
